code_insee,pop,nom,nom_court,nom_tres_court
43123,328,Lorlanges,Lorlanges,Lorlanges
43124,892,Loudes,Loudes,Loudes
43125,111,Lubilhac,Lubilhac,Lubilhac
43126,740,Malrevers,Malrevers,Malrevers
43127,738,Malvalette,Malvalette,Malvalette
43128,136,Malvières,Malvières,Malvières
43129,179,Le Mas-de-Tence,Le Mas-de-T.,Le Mas
43131,205,Mazerat-Aurouze,Mazerat-A.,Mazerat
43130,1187,Mazet-Saint-Voy,Mazet-St-V.,Mazet
43132,1588,Mazeyrat-d'Allier,Mazeyrat-d'A.,Mazeyrat
43133,142,Mercoeur,Mercoeur,Mercoeur
43134,161,Mézères,Mézères,Mézères
43135,1802,Le Monastier-sur-Gazeille,Le Monastier-sur-G.,Le Monastier
43136,232,Monistrol-d'Allier,Monistrol-d'A.,Monistrol
43137,9190,Monistrol-sur-Loire,Monistrol-sur-L.,Monistrol
43138,432,Monlet,Monlet,Monlet
43139,66,Montclard,Montclard,Montclard
43140,618,Le Monteil,Le Monteil,Le Monteil
43141,1344,Montfaucon-en-Velay,Montfaucon-en-V.,Montfaucon
43142,613,Montregard,Montregard,Montregard
43143,133,Montusclat,Montusclat,Montusclat
43144,113,Moudeyres,Moudeyres,Moudeyres
43145,56,Ouides,Ouides,Ouides
43147,685,Paulhac,Paulhac,Paulhac
43148,959,Paulhaguet,Paulhaguet,Paulhaguet
43149,125,Pébrac,Pébrac,Pébrac
43150,430,Le Pertuis,Le Pertuis,Le Pertuis
43151,235,Pinols,Pinols,Pinols
43152,2913,Polignac,Polignac,Polignac
43153,1893,Pont-Salomon,Pont-S.,Pont
43154,637,Pradelles,Pradelles,Pradelles
43155,64,Prades,Prades,Prades
43156,158,Présailles,Présailles,Présailles
43157,19665,Le Puy-en-Velay,Le Puy-en-V.,Le Puy
43158,324,Queyrières,Queyrières,Queyrières
43159,923,Raucoules,Raucoules,Raucoules
43160,182,Rauret,Rauret,Rauret
43162,2753,Retournac,Retournac,Retournac
43163,1221,Riotord,Riotord,Riotord
43164,501,Roche-en-Régnier,Roche-en-R.,Roche
43165,1446,Rosières,Rosières,Rosières
43166,350,Saint-André-de-Chalencon,St-André-de-C.,St-André
43167,204,Saint-Arcons-d'Allier,St-Arcons-d'A.,St-Arcons
43168,119,Saint-Arcons-de-Barges,St-Arcons-de-B.,St-Arcons
43169,56,Saint-Austremoine,St-Austremoine,St-Austremoine
43170,343,Saint-Beauzire,St-Beauzire,St-Beauzire
43171,98,Saint-Bérain,St-Bérain,St-Bérain
43172,239,Saint-Bonnet-le-Froid,St-Bonnet-le-F.,St-Bonnet
43173,110,Saint-Christophe-d'Allier,St-Christophe-d'A.,St-Christophe
43174,970,Saint-Christophe-sur-Dolaison,St-Christophe-sur-D.,St-Christophe
43175,169,Saint-Cirgues,St-Cirgues,St-Cirgues
43176,36,Saint-Didier-d'Allier,St-Didier-d'A.,St-Didier
43177,3431,Saint-Didier-en-Velay,St-Didier-en-V.,St-Didier
43178,227,Saint-Didier-sur-Doulon,St-Didier-sur-D.,St-Didier
43180,115,Saint-Étienne-du-Vigan,St-Étienne-du-V.,St-Étienne
43181,717,Saint-Étienne-Lardeyrol,St-Étienne-L.,St-Étienne
43182,52,Saint-Étienne-sur-Blesle,St-Étienne-sur-B.,St-Étienne
43184,2432,Saint-Ferréol-d'Auroure,St-Ferréol-d'A.,St-Ferréol
43186,467,Saint-Front,St-Front,St-Front
43187,318,Saint-Geneys-près-Saint-Paulien,St-Geneys-près-St-P.,St-Geneys
43188,473,Saint-Georges-d'Aurac,St-Georges-d'A.,St-Georges
43189,508,Saint-Georges-Lagricol,St-Georges-L.,St-Georges
43190,3528,Saint-Germain-Laprade,St-Germain-L.,St-Germain
43191,236,Saint-Géron,St-Géron,St-Géron
43192,356,Saint-Haon,St-Haon,St-Haon
43193,189,Saint-Hilaire,St-Hilaire,St-Hilaire
43194,704,Saint-Hostien,St-Hostien,St-Hostien
43195,187,Saint-Ilpize,St-Ilpize,St-Ilpize
43196,190,Saint-Jean-d'Aubrigoux,St-Jean-d'A.,St-Jean
43197,390,Saint-Jean-de-Nay,St-Jean-de-N.,St-Jean
43198,293,Saint-Jean-Lachalm,St-Jean-L.,St-Jean
43199,913,Saint-Jeures,St-Jeures,St-Jeures
43200,1933,Saint-Julien-Chapteuil,St-Julien-C.,St-Julien
43201,242,Saint-Julien-d'Ance,St-Julien-d'A.,St-Julien
43202,77,Saint-Julien-des-Chazes,St-Julien-des-C.,St-Julien
43203,462,Saint-Julien-du-Pinet,St-Julien-du-P.,St-Julien
43204,208,Saint-Julien-Molhesabate,St-Julien-M.,St-Julien
43205,4196,Saint-Just-Malmont,St-Just-M.,St-Just
43206,440,Saint-Just-près-Brioude,St-Just-près-B.,St-Just
43207,248,Saint-Laurent-Chabreuges,St-Laurent-C.,St-Laurent
43210,208,Saint-Martin-de-Fugères,St-Martin-de-F.,St-Martin
43211,2462,Saint-Maurice-de-Lignon,St-Maurice-de-L.,St-Maurice
43212,1048,Saint-Pal-de-Chalencon,St-Pal-de-C.,St-Pal
43213,2121,Saint-Pal-de-Mons,St-Pal-de-M.,St-Pal
43214,104,Saint-Pal-de-Senouire,St-Pal-de-S.,St-Pal
43215,200,Saint-Paul-de-Tartas,St-Paul-de-T.,St-Paul
43216,2453,Saint-Paulien,St-Paulien,St-Paulien
43217,504,Saint-Pierre-du-Champ,St-Pierre-du-C.,St-Pierre
43218,1068,Saint-Pierre-Eynac,St-Pierre-E.,St-Pierre
43219,114,Saint-Préjet-Armandon,St-Préjet-A.,St-Préjet
43220,180,Saint-Préjet-d'Allier,St-Préjet-d'A.,St-Préjet
43221,405,Saint-Privat-d'Allier,St-Privat-d'A.,St-Privat
43222,170,Saint-Privat-du-Dragon,St-Privat-du-D.,St-Privat
43223,1102,Saint-Romain-Lachalm,St-Romain-L.,St-Romain
43225,56,Saint-Vénérand,St-Vénérand,St-Vénérand
43226,110,Saint-Vert,St-Vert,St-Vert
43227,807,Saint-Victor-Malescours,St-Victor-M.,St-Victor
43228,107,Saint-Victor-sur-Arlanc,St-Victor-sur-A.,St-Victor
43229,544,Saint-Vidal,St-Vidal,St-Vidal
43230,994,Saint-Vincent,St-Vincent,St-Vincent
43183,94,Sainte-Eugénie-de-Villeneuve,Ste-Eugénie-de-V.,Ste-Eugénie
43185,3247,Sainte-Florine,Ste-Florine,Ste-Florine
43208,38,Sainte-Marguerite,Ste-Marguerite,Ste-Marguerite
43224,6046,Sainte-Sigolène,Ste-Sigolène,Ste-Sigolène
43231,152,Salettes,Salettes,Salettes
43232,371,Salzuit,Salzuit,Salzuit
43233,1077,Sanssac-l'Église,Sanssac-l'É.,Sanssac
43234,2005,Saugues,Saugues,Saugues
43236,1444,La Séauve-sur-Semène,La Séauve-sur-S.,La Séauve
43237,255,Sembadel,Sembadel,Sembadel
43238,307,Séneujols,Séneujols,Séneujols
43239,815,Siaugues-Sainte-Marie,Siaugues-Ste-M.,Siaugues
43240,227,Solignac-sous-Roche,Solignac-sous-R.,Solignac
43241,1235,Solignac-sur-Loire,Solignac-sur-L.,Solignac
43242,86,Tailhac,Tailhac,Tailhac
43244,3296,Tence,Tence,Tence
43245,225,Thoras,Thoras,Thoras
43246,473,Tiranges,Tiranges,Tiranges
43247,73,Torsiac,Torsiac,Torsiac
43249,509,Valprivas,Valprivas,Valprivas
43250,49,Vals-le-Chastel,Vals-le-C.,Vals
43251,3666,Vals-près-le-Puy,Vals-près-le-P.,Vals
43252,35,Varennes-Saint-Honorat,Varennes-St-H.,Varennes
43253,220,Les Vastres,Les Vastres,Les Vastres
43254,244,Vazeilles-Limandre,Vazeilles-L.,Vazeilles
43255,43,Vazeilles-près-Saugues,Vazeilles-près-S.,Vazeilles
